,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,GrandPrix
1,NOR,2.0,0 days 00:01:16.003000,0 days 00:00:26.383000,0 days 00:00:17.285000,0 days 00:00:32.335000,Australian Grand Prix
4,NOR,5.0,0 days 00:01:15.912000,0 days 00:00:26.463000,0 days 00:00:17.116000,0 days 00:00:32.333000,Australian Grand Prix
9,NOR,10.0,0 days 00:01:15.556000,0 days 00:00:26.104000,0 days 00:00:17.122000,0 days 00:00:32.330000,Australian Grand Prix
12,NOR,13.0,0 days 00:01:15.415000,0 days 00:00:26.194000,0 days 00:00:17.030000,0 days 00:00:32.191000,Australian Grand Prix
15,NOR,16.0,0 days 00:01:15.921000,0 days 00:00:26.127000,0 days 00:00:17.057000,0 days 00:00:32.737000,Australian Grand Prix
18,NOR,19.0,0 days 00:01:15.096000,0 days 00:00:25.961000,0 days 00:00:16.997000,0 days 00:00:32.138000,Australian Grand Prix
21,PIA,2.0,0 days 00:01:16.157000,0 days 00:00:26.452000,0 days 00:00:17.204000,0 days 00:00:32.501000,Australian Grand Prix
24,PIA,5.0,0 days 00:01:16.062000,0 days 00:00:26.270000,0 days 00:00:17.114000,0 days 00:00:32.678000,Australian Grand Prix
28,PIA,9.0,0 days 00:01:15.468000,0 days 00:00:26.171000,0 days 00:00:17.111000,0 days 00:00:32.186000,Australian Grand Prix
33,PIA,14.0,0 days 00:01:16.147000,0 days 00:00:26.190000,0 days 00:00:17.066000,0 days 00:00:32.891000,Australian Grand Prix
36,PIA,17.0,0 days 00:01:15.180000,0 days 00:00:26.082000,0 days 00:00:16.952000,0 days 00:00:32.146000,Australian Grand Prix
