,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,GrandPrix
1,PIA,2.0,0 days 00:01:31.591000,0 days 00:00:24.176000,0 days 00:00:27.442000,0 days 00:00:39.973000,Chinese Grand Prix
4,PIA,5.0,0 days 00:01:31.927000,0 days 00:00:24.252000,0 days 00:00:27.538000,0 days 00:00:40.137000,Chinese Grand Prix
9,PIA,10.0,0 days 00:01:31.200000,0 days 00:00:24.219000,0 days 00:00:27.341000,0 days 00:00:39.640000,Chinese Grand Prix
12,PIA,13.0,0 days 00:01:31.245000,0 days 00:00:24.103000,0 days 00:00:27.315000,0 days 00:00:39.827000,Chinese Grand Prix
15,PIA,16.0,0 days 00:01:30.703000,0 days 00:00:23.984000,0 days 00:00:27.163000,0 days 00:00:39.556000,Chinese Grand Prix
18,PIA,19.0,0 days 00:01:30.641000,0 days 00:00:23.996000,0 days 00:00:27.227000,0 days 00:00:39.418000,Chinese Grand Prix
43,NOR,2.0,0 days 00:01:32.036000,0 days 00:00:24.199000,0 days 00:00:27.918000,0 days 00:00:39.919000,Chinese Grand Prix
46,NOR,5.0,0 days 00:01:31.933000,0 days 00:00:24.012000,0 days 00:00:27.779000,0 days 00:00:40.142000,Chinese Grand Prix
49,NOR,8.0,0 days 00:01:30.983000,0 days 00:00:23.966000,0 days 00:00:27.348000,0 days 00:00:39.669000,Chinese Grand Prix
52,NOR,11.0,0 days 00:01:30.787000,0 days 00:00:23.954000,0 days 00:00:27.257000,0 days 00:00:39.576000,Chinese Grand Prix
55,NOR,14.0,0 days 00:01:30.793000,0 days 00:00:24.030000,0 days 00:00:27.328000,0 days 00:00:39.435000,Chinese Grand Prix
