,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,GrandPrix
18,NOR,2.0,0 days 00:01:28.233000,0 days 00:00:30.784000,0 days 00:00:39.969000,0 days 00:00:17.480000,Japanese Grand Prix
21,NOR,5.0,0 days 00:01:27.845000,0 days 00:00:30.610000,0 days 00:00:39.725000,0 days 00:00:17.510000,Japanese Grand Prix
24,NOR,8.0,0 days 00:01:27.146000,0 days 00:00:30.451000,0 days 00:00:39.388000,0 days 00:00:17.307000,Japanese Grand Prix
27,NOR,11.0,0 days 00:01:27.519000,0 days 00:00:30.641000,0 days 00:00:39.511000,0 days 00:00:17.367000,Japanese Grand Prix
30,NOR,14.0,0 days 00:01:26.995000,0 days 00:00:30.358000,0 days 00:00:39.301000,0 days 00:00:17.336000,Japanese Grand Prix
33,PIA,2.0,0 days 00:01:28.143000,0 days 00:00:30.892000,0 days 00:00:39.774000,0 days 00:00:17.477000,Japanese Grand Prix
36,PIA,5.0,0 days 00:01:27.687000,0 days 00:00:30.690000,0 days 00:00:39.542000,0 days 00:00:17.455000,Japanese Grand Prix
39,PIA,8.0,0 days 00:01:27.613000,0 days 00:00:30.563000,0 days 00:00:39.642000,0 days 00:00:17.408000,Japanese Grand Prix
42,PIA,11.0,0 days 00:01:27.507000,0 days 00:00:30.658000,0 days 00:00:39.426000,0 days 00:00:17.423000,Japanese Grand Prix
45,PIA,14.0,0 days 00:01:27.052000,0 days 00:00:30.514000,0 days 00:00:39.277000,0 days 00:00:17.261000,Japanese Grand Prix
48,PIA,17.0,0 days 00:01:27.027000,0 days 00:00:30.625000,0 days 00:00:39.197000,0 days 00:00:17.205000,Japanese Grand Prix
