,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,GrandPrix
19,NOR,2.0,0 days 00:01:27.672000,0 days 00:00:29.140000,0 days 00:00:33.460000,0 days 00:00:25.072000,Miami Grand Prix
22,NOR,5.0,0 days 00:01:27.319000,0 days 00:00:28.855000,0 days 00:00:33.619000,0 days 00:00:24.845000,Miami Grand Prix
25,NOR,8.0,0 days 00:01:26.955000,0 days 00:00:28.800000,0 days 00:00:33.377000,0 days 00:00:24.778000,Miami Grand Prix
28,NOR,11.0,0 days 00:01:26.499000,0 days 00:00:28.731000,0 days 00:00:32.985000,0 days 00:00:24.783000,Miami Grand Prix
31,NOR,14.0,0 days 00:01:26.724000,0 days 00:00:28.691000,0 days 00:00:33.233000,0 days 00:00:24.800000,Miami Grand Prix
34,NOR,17.0,0 days 00:01:26.495000,0 days 00:00:28.337000,0 days 00:00:33.024000,0 days 00:00:25.134000,Miami Grand Prix
37,NOR,20.0,0 days 00:01:26.269000,0 days 00:00:28.433000,0 days 00:00:32.901000,0 days 00:00:24.935000,Miami Grand Prix
60,PIA,2.0,0 days 00:01:27.307000,0 days 00:00:28.902000,0 days 00:00:33.467000,0 days 00:00:24.938000,Miami Grand Prix
63,PIA,5.0,0 days 00:01:27.006000,0 days 00:00:28.671000,0 days 00:00:33.468000,0 days 00:00:24.867000,Miami Grand Prix
67,PIA,9.0,0 days 00:01:26.269000,0 days 00:00:28.413000,0 days 00:00:33.032000,0 days 00:00:24.824000,Miami Grand Prix
70,PIA,12.0,0 days 00:01:26.509000,0 days 00:00:28.428000,0 days 00:00:33.279000,0 days 00:00:24.802000,Miami Grand Prix
73,PIA,15.0,0 days 00:01:26.375000,0 days 00:00:28.558000,0 days 00:00:33.089000,0 days 00:00:24.728000,Miami Grand Prix
